yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Ratings,Age,VisitFrequency,Gender
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,48,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,24,Every three months,Female
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,-2,-2,47,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,-4,54,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,23,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,+1,+1,34,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+3,+3,32,Once a month,Female
No,Yes,No,No,No,Yes,Yes,No,No,No,No,+3,+3,58,Once a month,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,0,46,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,23,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,31,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,0,59,Once a year,Male
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,0,0,47,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,58,More than once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,55,Every three months,Male
Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,+4,+4,62,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,20,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,42,Every three months,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,-3,29,Once a month,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+1,+1,63,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+2,+2,26,Once a week,Male
Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,19,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,61,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,+5,19,Once a week,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+4,+4,56,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,39,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,0,0,45,Once a month,Male
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,52,Once a year,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,0,0,42,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,47,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,22,Once a week,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,63,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,65,Every three months,Female
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,+1,63,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,25,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,+1,62,Once a year,Male
No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,0,0,59,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,67,Once a year,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,60,Never,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,+4,69,Once a week,Male
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,40,Never,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,+2,67,Once a year,Male
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,+2,37,Every three months,Female
No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-4,-4,65,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,64,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,57,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,I love it!+5,+5,37,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,+2,+2,39,Once a month,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,+1,64,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-2,-2,23,Once a year,Male
Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,+2,+2,50,Once a week,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,-4,60,Every three months,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-2,-2,32,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,59,Never,Female
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-2,-2,37,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,+3,+3,25,More than once a week,Female
No,Yes,No,No,No,Yes,No,No,No,No,No,+3,+3,55,Once a month,Male
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,-2,-2,25,Once a month,Male
No,Yes,No,No,No,Yes,Yes,No,No,Yes,Yes,-3,-3,35,Once a year,Female
No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,-4,58,Never,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,32,Never,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,I hate it!-5,-5,45,Never,Female
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,-3,60,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,59,Once a year,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,0,36,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,0,0,55,Once a year,Male
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+1,+1,55,Every three months,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,22,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,21,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,62,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,29,Once a month,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+1,+1,36,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,0,44,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+2,+2,47,Once a year,Female
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,-5,57,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,23,Once a year,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,31,Once a week,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+4,+4,70,More than once a week,Female
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,24,Once a week,Male
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,27,Every three months,Male
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,58,Never,Female
No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+2,+2,51,Once a week,Male
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,-2,-2,36,Every three months,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,36,Once a month,Female
No,No,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,0,0,43,Every three months,Male
No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,-3,64,Never,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-3,-3,52,Once a month,Male
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,+1,53,Never,Male
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,52,Never,Female
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,+3,33,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,24,Once a week,Male
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+4,+4,64,Once a month,Female
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,+3,+3,41,Once a month,Male
No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,I hate it!-5,-5,56,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,49,Once a month,Female
Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,-1,-1,24,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,+2,62,Every three months,Female
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,0,0,56,Every three months,Male
Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+3,+3,67,Every three months,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,27,Once a month,Male
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,-4,53,Once a year,Male
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,-4,-4,60,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,0,51,Once a year,Female
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,I hate it!-5,-5,67,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,27,Once a month,Female
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,0,0,56,Every three months,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,+4,39,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,+4,35,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,+2,68,Once a month,Female
Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,57,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,50,Never,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,+3,64,Once a month,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-3,-3,66,Once a week,Female
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,27,More than once a week,Male
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,70,Never,Male
No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,-1,51,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,0,60,Once a year,Female
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,-4,49,Once a year,Female
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,-5,54,Never,Female
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,-5,58,Never,Female
No,No,No,No,No,Yes,Yes,No,No,No,No,-3,-3,70,Once a month,Female
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+3,+3,59,More than once a week,Male
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,+1,+1,54,Once a year,Female
No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,-3,52,Every three months,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,+4,22,Once a week,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,53,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,69,More than once a week,Female
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,+1,20,Every three months,Male
Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+3,+3,66,Once a month,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,+5,25,More than once a week,Female
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,+5,31,Once a week,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,+1,67,Once a month,Female
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,56,Once a month,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,+1,48,Once a year,Female
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,-1,54,Every three months,Female
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,+5,58,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,42,Once a week,Female
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,+4,38,Once a week,Female
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+2,+2,28,Every three months,Male
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,+3,47,Once a week,Female
No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,0,49,Once a year,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,0,40,Every three months,Female
No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,0,31,Once a week,Male
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,-5,50,Never,Male
Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,-1,69,Once a year,Female
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,+4,40,Once a month,Female
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I love it!+5,+5,30,Once a month,Male
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,-3,44,Once a year,Male
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,+3,32,Once a month,Male
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,+3,67,Once a week,Male
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,+5,18,Once a week,Female
